key,metrics.diff_pct,metrics.match_avg_pct,metrics.match_curve_error_max,metrics.match_curve_error_pct,metrics.match_curve_pct,metrics.match_curve_r2,metrics.match_curve_rmse_pct,metrics.match_end_pct,metrics.match_half_curve_pct,metrics.match_half_rmse_pct,metrics.match_hubble_curve_pct,metrics.match_hubble_curve_r2,metrics.match_hubble_end_pct,metrics.match_hubble_half_curve_pct,metrics.match_hubble_half_rmse_pct,metrics.match_hubble_rmse_pct,metrics.match_max_pct,results.a_final,results.radius_max_Gpc,results.size_final_Gpc
2000p_5.8-2.2Gyr_53750M_1centerM_51S_300steps_42_123seeds,4.168105081388546,95.83189491861145,98.87831082542276,99.49440149544647,99.49440149544645,99.86513206394253,99.25175305847252,100.0,99.17410284885983,99.12962525753136,96.18908861153919,91.77333636883328,79.18235939697632,94.07350283355127,92.28223129972176,95.0166998044236,60.138550248879305,2.0355420236504447,13.090625753510798,14.500050345567328
2000p_5.8-2.2Gyr_53750M_1centerM_50S_300steps_42_123seeds,6.241191299516828,93.75880870048317,97.31450957408269,99.60915079803047,99.60915079803048,99.79071214134918,99.06789977696835,100.0,99.32357101389651,98.89592909645182,93.7198667412903,68.78064755534629,60.54260051028334,88.61455544289299,84.36612659161679,90.29228260094553,44.65879803310913,2.0901990524140572,14.539485631442266,14.889396111758005
2000p_5.8-2.2Gyr_53750M_1centerM_49S_300steps_42_123seeds,9.86103958788101,90.13896041211899,95.77256273715389,99.43498339160524,99.43498339160526,99.43769140575172,98.47215972108472,100.0,98.97380078068619,98.18475865197128,91.40731958355589,41.29220352117072,47.030719537699504,83.97852047890859,78.51683425884403,86.68770080684529,35.06758274719098,2.1215859192834974,15.437195544021664,15.112978403112683
2000p_5.8-2.2Gyr_53750M_1centerM_48S_300steps_42_123seeds,17.640524776591846,82.35947522340815,93.77555117598106,99.15437008452328,99.15437008452326,98.69010446827396,97.66810535558963,98.77555117598106,98.41539692666588,97.22722712358012,88.28530765479037,-7.369038992908816,29.48289877933965,77.73976023333,70.9253017985785,81.99700699323607,22.88993953176181,2.162235787687591,16.576987603782477,15.402545079482742
2000p_5.8-2.2Gyr_52500M_1centerM_51S_300steps_42_123seeds,4.996760258224526,95.00323974177547,98.82748523552604,99.45954900261937,99.45954900261935,99.84709417347113,99.20328570051451,99.79869810147797,99.10731313164337,99.07099376062105,96.37912620120152,93.00725997923884,81.06653188400736,94.45583447925566,92.9484994729006,95.4055992848836,61.533552937976864,2.031437385541438,12.960057550760054,14.470811224714302
2000p_5.8-2.2Gyr_52500M_1centerM_50S_300steps_42_123seeds,5.535862941962733,94.46413705803727,97.62510694070862,99.6359572809168,99.6359572809168,99.83766875411804,99.17909735390052,100.0,99.37810355030665,99.02916421980483,94.16418341639181,73.23357574336352,63.25658865840001,89.50785931612694,85.53617930230509,91.01122812840043,46.61954486753742,2.0838767344438063,14.355965418742082,14.844359493597246
2000p_5.8-2.2Gyr_52500M_1centerM_49S_300steps_42_123seeds,8.935430764259749,91.06456923574025,96.16366393485724,99.48476557775058,99.48476557775058,99.54599031177167,98.62714978872184,100.0,99.07330168057791,98.36953494405789,92.00804066580014,49.100562482149535,50.45735733202753,85.18109644867789,80.00277135064763,87.6045678825395,37.47097925707812,2.1136249176907036,15.212244606474455,15.056268729445696
2000p_5.8-2.2Gyr_52500M_1centerM_48S_300steps_42_123seeds,15.254286453248639,84.74571354675136,94.27438914908565,99.22748771634218,99.22748771634217,98.90711401614361,97.87000775243828,99.27438914908565,98.56061489597525,97.46756487588857,89.07569014388517,6.138777458556966,33.864102947735546,79.3175301782286,72.8185009555325,83.16751317951618,25.906588866696055,2.152081766370981,16.294637981756733,15.330213573382578
2000p_5.8-2.2Gyr_51250M_1centerM_51S_300steps_42_123seeds,5.822386533155878,94.17761346684412,98.76923237669853,99.42568223978145,99.42568223978145,99.82635520593529,99.15097304514606,99.60313044494451,99.04240660891739,99.00781725268443,96.55915052037854,94.03841693666652,82.8945681157946,94.81834587080971,93.5593072075188,95.75785040397692,62.903496591102645,2.027456537529966,12.831834801043252,14.44245391451695
2000p_5.8-2.2Gyr_51250M_1centerM_50S_300steps_42_123seeds,4.8713576816915065,95.1286423183085,97.92669766421177,99.65845975536482,99.65845975536479,99.87540766597543,99.2808222287985,100.0,99.42426171704014,99.15135938229838,94.59164448724958,77.20752775301001,65.89019156605174,90.36794965061794,86.66751146599974,91.70529591459031,48.538344702712024,2.0777377498426866,14.176371323422277,14.80062883868929
